Exit,Highway,County,Total_Accidents,Avg_Latitude,Avg_Longitude,County_old,Predicted_Accidents,Ratio
66B,4,0,118,37.9642127966,-121.273740085,6,125.4234,0.940813277267
17,4,1,40,38.01857475,-121.959024,7,41.8526,0.955735127567
67,4,0,150,37.9529519333,-121.2736848,6,137.0716,1.0943185897
30,4,1,22,37.97175,-121.723967273,7,28.3302,0.776556466245
15A,4,1,11,38.0084863636,-122.025332727,7,17.3262,0.63487666078
10,4,1,9,37.9942122222,-122.108251111,7,13.0587,0.689195708608
19,4,1,40,38.01983525,-121.96180775,7,42.8779,0.932881507723
68A,4,0,182,37.9599291758,-121.251977473,6,152.0546,1.19693846816
15B,4,1,20,38.0123765,-122.0070995,7,25.0607,0.798062304724
27B,4,1,49,37.9117504082,-121.898978776,7,55.8628,0.877149015087
66A,4,0,77,37.959091039,-121.284910909,6,103.5191,0.74382408657
31,4,1,9,37.98745,-121.726477778,7,17.2682,0.521189238021
09,4,1,9,37.9911811111,-122.12657,7,10.7009,0.84105075274
12A,4,1,23,37.9961186957,-122.106393043,7,19.2212,1.19659542588
65A,4,0,219,37.9161350685,-121.300452511,6,188.0976,1.16428917753
05,4,1,26,38.0153630769,-122.247491154,7,20.196,1.28738364032
28,4,1,28,37.9975342857,-121.7946975,7,25.226,1.10996590819
06,4,1,15,37.9979533333,-122.151736667,7,13.945,1.0756543564
03,4,1,1,38.01479,-122.19185,7,9.4415,0.105915373616
13,4,1,15,38.00355,-122.04404,7,16.5582,0.905895568359
176A,5,2,31,34.4962480645,-118.65447871,8,145.0159,0.213769662499
790,5,3,10,41.828633,-122.536285,9,10.0815,0.991915885533
684,5,4,13,40.6283815385,-122.340837692,10,13.7495,0.94548892687
39,5,5,112,33.0411851786,-117.261373393,11,123.8528,0.90429929723
51B,5,5,101,33.2131631683,-117.338980198,11,115.3148,0.875863289014
610,5,6,15,39.4374086667,-122.208806667,12,20.9573,0.71574105443
458A,5,0,42,37.7434083333,-121.378,6,71.2931,0.589117319909
47,5,5,128,33.1390976563,-117.317143281,11,126.7397,1.00994400334
162,5,2,905,34.343864232,-118.527666122,8,758.4056,1.19329287653
588,5,7,23,39.2931891304,-122.181946957,13,34.4159,0.668295758646
51C,5,5,227,33.1789746696,-117.347819075,11,206.9057,1.09711815576
707,5,4,24,40.9488991667,-122.42803,10,19.0556,1.25947228111
16B,5,5,103,32.7292117476,-117.161692136,11,109.5042,0.940603191476
759,5,3,6,41.6133333333,-122.513733333,9,7.1031,0.844701609157
468,5,0,159,37.8931635849,-121.281796352,6,142.2839,1.11748412856
675,5,4,45,40.5397257778,-122.324331111,10,40.0232,1.12434787823
173,5,2,218,34.4726280734,-118.62172945,8,197.2433,1.10523399274
16A,5,5,105,32.7313266667,-117.16788181,11,112.7109,0.93158691839
166,5,2,252,34.3739166667,-118.561243651,8,337.4315,0.74681824311
33B,5,5,266,32.9398843233,-117.239626617,11,270.7047,0.982620545561
690,5,4,24,40.73938875,-122.316766667,10,19.2333,1.24783578481
740,5,3,10,41.32322,-122.323021,9,13.9001,0.719419284753
665,5,4,15,40.3811126667,-122.269948,10,15.2409,0.98419384682
28B,5,5,248,32.8983255242,-117.226899032,11,189.0087,1.31210891351
537,5,8,21,38.674127619,-121.744383333,14,19.5948,1.07171290342
667A,5,4,8,40.4465675,-122.27832125,10,13.8412,0.577984567812
34,5,5,646,32.9974831424,-117.245940186,11,487.895,1.32405538077
647B,5,9,51,40.1713598039,-122.22541451,15,38.8707,1.31204223232
695,5,4,26,40.7842719231,-122.326743846,10,23.0219,1.12935943602
62,5,5,610,33.3414943279,-117.513850066,11,511.7813,1.19191537479
650,5,9,15,40.1980686667,-122.239192667,15,26.3103,0.570118926808
680,5,4,7,40.6165228571,-122.364531429,10,12.9243,0.541615406637
630,5,9,25,39.8840788,-122.2003352,15,32.2912,0.774204736894
