Exit,Highway,County,Total_Accidents,Avg_Latitude,Avg_Longitude,County_old
66B,4,0,118,37.9642127966,-121.273740085,6
17,4,1,40,38.01857475,-121.959024,7
67,4,0,150,37.9529519333,-121.2736848,6
30,4,1,22,37.97175,-121.723967273,7
15A,4,1,11,38.0084863636,-122.025332727,7
10,4,1,9,37.9942122222,-122.108251111,7
19,4,1,40,38.01983525,-121.96180775,7
68A,4,0,182,37.9599291758,-121.251977473,6
15B,4,1,20,38.0123765,-122.0070995,7
27B,4,1,49,37.9117504082,-121.898978776,7
66A,4,0,77,37.959091039,-121.284910909,6
31,4,1,9,37.98745,-121.726477778,7
09,4,1,9,37.9911811111,-122.12657,7
12A,4,1,23,37.9961186957,-122.106393043,7
65A,4,0,219,37.9161350685,-121.300452511,6
05,4,1,26,38.0153630769,-122.247491154,7
28,4,1,28,37.9975342857,-121.7946975,7
06,4,1,15,37.9979533333,-122.151736667,7
03,4,1,1,38.01479,-122.19185,7
13,4,1,15,38.00355,-122.04404,7
176A,5,2,31,34.4962480645,-118.65447871,8
790,5,3,10,41.828633,-122.536285,9
684,5,4,13,40.6283815385,-122.340837692,10
39,5,5,112,33.0411851786,-117.261373393,11
51B,5,5,101,33.2131631683,-117.338980198,11
610,5,6,15,39.4374086667,-122.208806667,12
458A,5,0,42,37.7434083333,-121.378,6
47,5,5,128,33.1390976563,-117.317143281,11
162,5,2,905,34.343864232,-118.527666122,8
588,5,7,23,39.2931891304,-122.181946957,13
51C,5,5,227,33.1789746696,-117.347819075,11
707,5,4,24,40.9488991667,-122.42803,10
16B,5,5,103,32.7292117476,-117.161692136,11
759,5,3,6,41.6133333333,-122.513733333,9
468,5,0,159,37.8931635849,-121.281796352,6
675,5,4,45,40.5397257778,-122.324331111,10
173,5,2,218,34.4726280734,-118.62172945,8
16A,5,5,105,32.7313266667,-117.16788181,11
166,5,2,252,34.3739166667,-118.561243651,8
33B,5,5,266,32.9398843233,-117.239626617,11
690,5,4,24,40.73938875,-122.316766667,10
740,5,3,10,41.32322,-122.323021,9
665,5,4,15,40.3811126667,-122.269948,10
28B,5,5,248,32.8983255242,-117.226899032,11
537,5,8,21,38.674127619,-121.744383333,14
667A,5,4,8,40.4465675,-122.27832125,10
34,5,5,646,32.9974831424,-117.245940186,11
647B,5,9,51,40.1713598039,-122.22541451,15
695,5,4,26,40.7842719231,-122.326743846,10
62,5,5,610,33.3414943279,-117.513850066,11
650,5,9,15,40.1980686667,-122.239192667,15
680,5,4,7,40.6165228571,-122.364531429,10
630,5,9,25,39.8840788,-122.2003352,15
789,5,3,3,41.7890333333,-122.56914,9
698,5,4,29,40.8548027586,-122.355675862,10
191,5,2,244,34.6789301639,-118.773921025,8
22,5,5,208,32.8011960096,-117.212845769,11
693,5,4,24,40.7546091667,-122.298222083,10
